id,responsable,campaña,fecha,latitud,longitud,rio,altura (msnm),velocidad_media (m/s),caudal (m3/s),conductividad específica (t ref. 25°c) (us/cm),oxígeno disuelto (mg/l o2),ph (u ph),sólidos disueltos totales (mg/l),sólidos suspendidos totales (mg/l),sólidos totales (mg/l),temperatura (c),calcio disuelto (mg/l ca),calcio total (mg/l ca),dureza total (mg/l caco3),magnesio disuelto (mg/l mg),magnesio total (mg/l mg),potasio disuelto (mg/l k),potasio total (mg/l k),sodio disuelto (mg/l na),sodio total (mg/l na),demanda bioquímica de oxígeno (mg/l o2),demanda química de oxígeno (mg/l o2),arsenico disuelto (ug/l as),arsenico total (ug/l as),cadmio disuelto (ug/l cd),cadmio total (ug/l cd),cobre disuelto (ug/l cu),cobre total (ug/l cu),cromo disuelto (ug/l cr),cromo total (ug/l cr),hierro disuelto (ug/l fe),hierro total (ug/l fe),manganeso disuelto (ug/l mn),manganeso total (ug/l mn),mercurio disuelto (ug/l hg),mercurio total (ug/l hg),niquel disuelto (ug/l ni),niquel total (ug/l ni),plata disuelto (ug/l ag),plata total (ug/l ag),plomo disuelto (ug/l pb),plomo total (ug/l pb),zinc disuelto (ug/l zn),zinc total (ug/l zn),arsenico suspensión (mg/kg as),cadmio suspensión (mg/kg cd),cobre suspensión (mg/kg cu),cromo suspensión (mg/kg cr),hierro suspensión (mg/kg fe),manganeso suspensión (mg/kg mn),niquel suspensión (mg/kg ni),plomo suspensión (mg/kg pb),zinc en suspensión (mg/kg zn),turbiedad (unt),plata suspensión (mg/kg ag),mercurio suspensión (mg/kg hg),ph (mv) (mv),salinidad (sal),saturación de oxígeno (%),alcalinidad total (mg/l caco3),cloruros (mg/l cl -),sulfatos (mg/l so4=),fósforo disuelto (mg/l po4),fósforo total (mg/l po4),nitrato (mg/l no3),nitrito (mg/l no2),nitrógeno amoniacal (mg/l nh4),nitrógeno total kjeldahl (mg/l n),carbono organico disuelto (mg/l),coliformes fecales (en nmp) (nmp/100 ml),coliformes totales (en nmp) (nmp/100 ml),cianuros libre (mg/l cn-),fenoles (mg/l c6h6o),sulfuros (mg/l s=),aerobios mesófilos totales (en ufc) (ufc/100 ml),coliformes fecales (en ufc) (ufc/100 ml),coliformes totales (en ufc) (ufc/100 ml),cianuros libre (cn-),sulfuros (s=),cianuros (mg/l cn-),color (u ptco),boro disuelto (ug/l b),boro total (ug/l b),selenio disuelto (ug/l se),selenio total (ug/l se),hidrocarburos totales (mg/l),boro suspensión (mg/kg b),selenio suspensión (mg/kg se),cobre total (cu),cromo disuelto (cr),cromo total (cr),hierro disuelto (fe),hierro total (fe),manganeso disuelto (mn),manganeso total (mn),mercurio disuelto (hg),mercurio total (hg),niquel disuelto (ni),niquel total (ni),plata disuelto (ag),plata total (ag),plomo disuelto (pb),plomo total (pb),selenio disuelto (se),selenio total (se),zinc disuelto (zn),zinc total (zn),fenoles (c6h6o),aerobios mesófilos totales (en ufc) (ufc/ml),hidrocarburos totales (),cadmio total (cd),cobre disuelto (cu),fósforo total (po4),arsenico total (as),boro disuelto (b),boro total (b),cadmio disuelto (cd),demanda bioquímica de oxígeno (o2),demanda química de oxígeno (o2),arsenico disuelto (as),magnesio total (mg),potasio disuelto (k),sodio disuelto (na),sulfatos (so4=),nitrato (no3),nitrito (no2),nitrógeno amoniacal (nh4),fósforo disuelto (po4),alcalinidad fenolftaleina (mg/l caco3),turbiedad (ntu),bismuto disuelto (ug/l bi),bismuto total (ug/l bi),talio disuelto (ug/l tl),talio total (ug/l tl),bismuto suspensión (mg/kg bi),talio en suspensión (mg/kg tl),presión parcial (mm hg),resistividad (ohm.cm),bismuto total (bi),talio disuelto (tl),talio total (tl),bismuto disuelto (bi),aerobios mesófilos totales (en nmp) (nmp/100 ml),cianuros (cn-),coliformes totales (en ufc) (),coliformes totales (en nmp) (),alcalinidad total (caco3),dureza total (caco3),magnesio disuelto (mg),potasio total (k),sodio total (na),nitrógeno total kjeldahl (n),aerobios mesófilos totales (en ufc) (),coliformes fecales (en nmp) (),coliformes fecales (en ufc) (),ph en laboratorio (u ph),sólidos sedimentables (ml/l),calcio disuelto (ca),calcio total (ca),cloruros (cl -),carbono orgánico total (mg/l)
316, Unidad de Monitoreo y Centro de Datos,Marzo 2011,2011-03-17 10:30:00,-23.1522,-61.9864,La Estrella,0.0,,,520.0,5.09,7.73,372.0,19352.0,20108.0,25.3,57.0,,202.0,29.1,,6.0,,29.0,,4.0,10.0,2.0,17.0,0.05,0.5,1.0,119.0,0.1,47.0,505.0,34014.0,16.0,455.0,0.04,1.0,2.0,30.0,0.05,0.3,0.1,41.0,4.0,167.0,0.78,0.03,6.1,2.43,1731.55,22.68,1.45,1.81,8.42,741.0,0.02,,-47.0,0.0,63.8,117.0,29.0,130.0,,7.3,1.0,0.05,0.17,,,4300.0,430000.0,,0.02,,,,,,,,25.0,400.0,388.0,1.0,1.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317, Unidad de Monitoreo y Centro de Datos,Mayo 2011,2011-05-16 17:15:00,-24.3588,-60.3064,La Estrella,0.0,,,487.0,2.54,7.31,334.0,16.0,360.0,21.5,63.0,,182.0,,,7.1,,33.0,,5.0,21.0,2.0,16.0,0.05,1.0,0.7,19.0,0.5,16.0,173.0,9980.0,13.0,474.0,0.04,1.0,2.0,12.0,0.05,1.0,0.2,9.0,4.0,36.0,875.0,,1143.75,968.75,612937.5,28812.5,625.0,118.75,2000.0,1.12,,,-27.0,0.0,29.1,143.0,31.0,92.0,,3.53,3.0,0.03,0.12,,,30.0,23000.0,,0.02,,,,,,,,66.0,382.0,1060.0,1.0,8.0,95.0,42375.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318, Unidad de Monitoreo y Centro de Datos,Marzo 2011,2011-03-31 15:25:00,-24.7484,-58.8329,Pilcomayo,0.0,,,25100.0,,8.42,20126.0,236.0,2362.0,29.5,571.2,612.0,109.1,161.24,322.48,11.18,11.58,5707.55,6090.24,18.0,456.8,10.0,26.0,0.05,1.0,10.0,83.0,0.3,4.0,311.0,2070.0,71.0,427.0,0.04,1.0,4.0,15.0,0.05,1.0,0.2,5.0,5.0,33.0,67.8,,309.32,15.68,7453.39,1508.47,46.61,,118.64,24.0,,,-94.0,15.4,,371.49,6830.0,5180.0,1.81,2.32,0.044,0.012,0.08,0.16,,,,,,0.001,,1600.0,7500.0,,,,,442.0,3393.0,2.0,54.0,,12504.24,220.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319, Unidad de Monitoreo y Centro de Datos,Marzo 2011,2011-03-29 13:45:00,-25.2642,-57.7244,Pilcomayo,0.0,,,130.0,4.93,7.2,206.0,39.0,245.0,27.5,6.53,8.92,33.7,3.98,4.23,5.93,8.42,7.62,13.54,5.4,76.1,3.0,4.0,0.05,1.0,3.0,8.0,0.9,6.0,998.0,7071.0,26.0,70.0,0.04,1.0,3.0,7.0,0.05,1.0,1.0,9.0,13.0,33.0,25.64,,128.21,130.77,155717.95,1128.21,102.56,78.72,512.82,101.3,,,-20.0,0.0,63.2,36.54,12.7,11.3,0.82,1.31,0.73,0.024,0.06,0.075,,,,,,0.001,,1340.0,9500.0,,,,,67.0,65.0,0.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320, Unidad de Monitoreo y Centro de Datos,Mayo 2011,2011-05-16 10:15:00,-25.1486,-59.6796,Montelindo,0.0,,,3270.0,7.43,8.66,2252.0,302.0,2568.0,17.9,54.0,,289.0,59.3,,8.5,,750.0,,7.0,27.0,10.0,2.0,0.05,1.0,7.0,2.0,0.1,1.0,90.0,269.0,170.0,18.0,0.04,1.0,3.0,4.0,0.05,1.0,0.2,3.0,10.0,10.0,,,,,592.72,,3.31,,0.0,220.0,,,-104.0,1.6,78.3,181.0,442.0,969.0,,7.14,2.8,0.03,0.12,,,230.0,75000.0,,0.02,,,,,,,,62.0,1096.0,334.0,3.0,3.0,76.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321, Unidad de Monitoreo y Centro de Datos,Mayo 2011,2011-05-16 12:45:00,-24.6963,-59.8175,Salada,0.0,,,493.0,5.46,7.64,360.0,16.0,382.0,21.6,56.0,,204.0,,,7.2,,31.0,,4.0,19.0,3.0,3.0,0.05,1.0,1.0,11.0,0.6,5.0,207.0,764.0,15.0,30.0,0.04,1.0,3.0,20.0,0.05,1.0,0.3,5.0,3.0,48.0,0.0,,625.0,275.0,34812.5,937.5,1062.5,,2812.5,7.4,,,-46.0,0.0,20.8,157.0,31.0,95.0,,4.23,3.4,0.03,0.13,,,30.0,23000.0,,0.02,,,,,,,,61.0,408.0,434.0,0.3,6.0,12.0,1625.0,356.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322, Unidad de Monitoreo y Centro de Datos,Marzo 2011,2011-03-29 10:50:00,-25.7879,-58.0213,Montelindo,0.0,,,730.0,5.08,7.31,572.0,53.0,625.0,26.0,21.62,26.11,103.0,9.17,10.18,9.28,18.71,114.31,114.56,5.4,100.4,4.0,5.0,0.05,1.0,3.0,7.0,0.9,3.0,771.0,4826.0,39.0,128.0,0.04,1.0,2.0,6.0,0.05,1.0,0.7,7.0,4.0,27.0,18.87,,75.47,39.62,76509.43,1679.25,75.47,,433.96,73.8,,,-26.0,0.1,63.0,61.91,91.7,219.0,1.51,2.05,0.61,0.024,0.04,0.203,,,,,,0.001,,2200.0,44000.0,,,,,295.0,273.0,0.8,3.0,,,41.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323, Unidad de Monitoreo y Centro de Datos,Marzo 2011,2011-03-29 12:30:00,-25.2654,-57.7288,Porteño,0.0,,,273.0,4.33,7.06,174.0,31.0,205.0,27.0,13.46,14.28,62.2,5.21,6.44,6.2,6.48,34.83,41.2,9.6,107.3,5.0,6.0,0.05,1.0,2.0,4.0,0.7,0.5,1635.0,4237.0,125.0,186.0,0.04,1.0,2.0,4.0,0.05,1.0,0.8,5.0,4.0,10.0,32.26,,64.52,,83935.48,1967.74,64.52,,193.55,54.7,,,-11.0,0.0,54.7,60.9,28.3,30.7,0.53,0.94,0.28,0.026,0.04,1.67,,,,,,0.001,,1860.0,11200.0,,,,,113.0,101.0,0.3,3.0,,,87.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324, Unidad de Monitoreo y Centro de Datos,Abril 2011,2011-04-06 10:35:00,-25.1071,-57.5467,Confuso,0.0,,,103.0,4.16,6.76,166.0,6.0,172.0,27.0,6.12,6.94,34.7,2.23,4.22,6.2,6.6,10.63,21.46,1.8,70.47,3.0,3.0,0.05,1.0,2.0,4.0,1.0,2.0,988.0,2546.0,58.0,71.0,0.04,1.0,2.0,3.0,0.05,1.0,0.7,6.0,3.0,9.0,0.0,,333.33,166.67,259666.67,2166.67,166.67,,1000.0,21.0,,,8.0,0.0,51.3,32.0,6.8,0.3,0.8,1.38,0.81,0.03,0.11,0.24,,,,,,0.001,,240.0,13200.0,,,,,49.0,49.0,0.3,1.0,,0.0,116.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325, Unidad de Monitoreo y Centro de Datos,Marzo 2011,2011-03-30 16:50:00,-24.19,-58.2999,Negro,0.0,,,161.0,3.77,6.93,258.0,35.0,293.0,27.4,9.79,11.42,46.9,4.46,5.21,16.54,16.9,12.52,12.76,2.4,117.7,5.0,5.0,0.05,1.0,1.0,5.0,0.2,1.0,239.0,3571.0,40.0,125.0,0.04,1.0,4.0,5.0,0.05,1.0,0.2,6.0,2.0,15.0,0.0,,114.29,22.86,95200.0,2428.57,28.57,,371.43,49.1,,,-3.0,0.0,47.9,47.7,13.7,7.7,2.34,3.03,0.98,0.274,0.1,0.135,,,,,,0.001,,20.0,3000.0,,,,,420.0,71.0,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326, Unidad de Monitoreo y Centro de Datos,Marzo 2011,2011-03-30 15:30:00,-23.8933,-58.4464,Montelindo,0.0,,,904.0,5.49,7.57,684.0,203.0,887.0,28.1,23.66,23.66,126.5,12.42,16.38,10.0,10.2,196.81,204.46,3.9,110.7,8.0,9.0,0.05,1.0,4.0,111.0,0.8,10.0,711.0,11357.0,171.0,383.0,0.04,1.0,4.0,29.0,0.05,1.0,0.7,14.0,4.0,33.0,4.93,,527.09,45.32,52443.35,1044.33,123.15,19.7,142.86,225.0,,,-42.0,0.2,70.7,87.29,183.0,110.0,2.77,4.48,0.24,0.034,0.11,0.338,,,,,,0.001,,100.0,5800.0,,,,,321.0,314.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327, Unidad de Monitoreo y Centro de Datos,Marzo 2011,2011-03-30 12:05:00,-23.2151,-59.2026,Verde,0.0,,,1066.0,4.95,8.06,704.0,209.0,913.0,28.4,41.62,48.96,169.3,11.41,13.39,8.81,10.02,218.68,219.77,5.1,107.3,7.0,8.0,0.05,1.0,3.0,11.0,0.4,11.0,1011.0,10297.0,121.0,336.0,0.04,1.0,3.0,11.0,0.05,1.0,1.0,12.0,7.0,30.0,4.78,,38.28,50.72,44430.62,1028.71,38.28,15.26,110.05,192.0,,,-72.0,0.3,63.6,101.5,171.0,180.0,1.14,2.79,0.07,0.024,0.19,0.274,,,,,,0.001,,220.0,5400.0,,,,,86.0,697.0,0.4,3.0,,2923.44,12.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328, Unidad de Monitoreo y Centro de Datos,Abril 2011,2011-04-05 11:55:00,-23.5692,-60.5222,Pilcomayo,0.0,,,519.0,4.03,7.33,369.0,14.0,383.0,27.9,55.08,63.24,209.1,12.4,18.6,9.0,9.35,31.43,34.17,1.0,32.03,4.0,4.0,0.05,1.0,1.0,2.0,0.1,1.0,209.0,479.0,4.0,40.0,0.04,1.0,4.0,4.0,0.05,1.0,0.2,2.0,2.0,8.0,0.0,,71.43,,19285.71,2571.43,0.0,,428.57,6.2,,,-26.0,0.0,50.3,146.0,27.3,88.1,0.57,0.81,0.12,0.007,0.032,0.028,,,,,,0.001,,340.0,6500.0,,,,,371.0,334.0,0.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330, Unidad de Monitoreo y Centro de Datos,Mayo 2011,2011-05-31 12:50:00,-22.3781,-62.5185,Pilcomayo,0.0,,,866.0,7.16,8.09,584.0,1182.0,1912.0,22.2,49.0,,152.0,7.3,,6.8,,134.0,,2.0,16.0,3.0,75.0,0.05,1.0,0.8,26.0,0.1,2.0,175.0,6568.0,8.0,139.0,0.04,1.0,4.0,116.0,0.05,1.0,0.2,3.0,5.0,160.0,60.91,,21.32,1.69,5408.63,110.83,94.75,,131.13,633.0,,,-72.0,0.2,84.4,108.0,106.0,212.0,,,3.4,0.03,0.23,,,,,,,,,,,,,,19.0,829.0,,0.5,16.0,,,13.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331, Unidad de Monitoreo y Centro de Datos,Mayo 2011,2011-05-30 13:40:00,-21.2588,-63.5115,Pilcomayo,0.0,0.329,72.0,894.0,6.77,8.35,584.0,35.0,681.0,22.1,41.5,50.7,205.0,23.0,38.0,7.57,7.76,80.07,85.05,1.0,63.0,3.0,4.0,0.05,1.0,2.0,7.0,0.1,26.0,217.0,3200.0,3.0,57.0,0.04,1.0,2.0,83.0,0.05,1.0,0.1,5.0,2.0,31.0,28.57,,142.86,742.86,85228.57,1542.86,2314.29,,828.57,61.0,,,-87.0,0.2,83.5,125.8,15.05,240.75,,,,,,,,,,,,,,,,,,,,528.0,593.0,0.6,1.0,,1857.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332, Unidad de Monitoreo y Centro de Datos,Mayo 2011,2011-05-18 13:40:00,-21.2394,-65.2092,San Juan del Oro,0.0,0.694,8.0,1172.0,6.12,8.48,1144.0,109.0,1254.0,17.2,167.36,168.86,643.7,54.83,58.65,5.5,5.6,110.0,112.7,5.0,2.0,3.0,11.0,0.05,6.0,0.8,10.0,0.1,12.0,172.0,6356.0,8.0,87.0,0.04,1.0,4.0,13.0,0.05,2.0,0.1,13.0,5.0,30.0,73.39,55.05,84.4,110.09,56733.94,724.77,82.57,68.81,229.36,109.0,18.35,,-93.0,0.4,84.3,160.0,98.1,356.2,,,,,,,2.0,,,,,0.001,,,,,,,,854.0,2842.0,0.4,4.0,,18238.53,33.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333, Unidad de Monitoreo y Centro de Datos,Mayo 2011,2011-05-18 16:00:00,-20.7424,-65.2405,Tumusla,0.0,0.702,10.0,972.0,6.23,8.41,1000.0,552.0,1552.0,16.5,121.09,143.87,543.9,58.65,60.55,5.7,6.3,79.4,91.1,5.0,2.0,3.0,13.0,0.05,1.0,1.0,23.0,0.1,31.0,223.0,34423.0,7.0,382.0,0.04,1.0,3.0,25.0,0.05,1.0,0.1,25.0,5.0,178.0,18.12,1.81,39.86,56.16,61956.52,679.35,39.86,34.96,313.41,530.0,,,-89.0,0.2,85.2,120.0,76.8,335.9,,,,,,,2.0,,,,,0.001,,,,,,,,938.0,1187.0,0.5,1.0,,451.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334, Unidad de Monitoreo y Centro de Datos,Mayo 2011,2011-05-19 08:20:00,-19.4718,-65.7935,Tarapaya,0.0,,,730.0,6.85,7.38,588.0,49.0,638.0,4.0,171.13,172.26,508.2,19.65,20.84,6.5,6.6,49.85,51.2,5.0,2.0,3.0,30.0,0.05,2.0,2.0,38.0,0.1,20.0,159.0,19327.0,4.0,448.0,0.04,1.0,3.0,46.0,0.05,1.0,0.2,22.0,5.0,152.0,551.02,40.82,734.69,408.16,391183.67,9061.22,877.55,316.33,3000.0,100.0,,,-28.0,0.1,79.9,35.0,51.2,219.0,,,,,,,2.0,,,,,0.001,,,,,,,,487.0,4550.0,0.5,3.0,,82918.37,51.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335, Unidad de Monitoreo y Centro de Datos,Septiembre 2011,2011-09-06 15:10:00,-22.663,-62.1978,La Estrella,0.0,,,1583.0,6.17,8.32,992.0,894.0,1914.0,23.9,93.0,,456.0,54.1,,9.0,,131.0,,3.0,7.0,3.0,17.0,0.05,1.0,3.0,22.0,0.6,26.0,279.0,35209.0,12.0,415.0,0.04,0.125,3.0,24.0,0.05,1.0,0.1,22.0,4.0,89.0,15.66,,21.25,28.41,39071.59,450.78,23.49,14.54,95.08,453.0,,0.15,-100.0,0.6,74.9,145.0,217.0,270.0,,,3.1,0.03,0.42,,,,,,,,,,,,,,22.0,745.0,896.0,0.7,4.0,,168.9,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336, Unidad de Monitoreo y Centro de Datos,Septiembre 2011,2011-09-06 10:05:00,-22.3783,-62.5186,Pilcomayo,0.0,0.475,14.0,1597.0,6.42,8.4,1010.0,298.0,1460.0,18.3,95.0,,451.0,51.6,,9.7,,136.0,,2.0,5.0,4.0,12.0,0.1,1.0,2.0,15.0,0.6,18.0,276.0,16043.0,21.0,213.0,0.04,0.093,3.0,12.0,0.05,1.0,0.1,17.0,26.0,160.0,26.85,,43.62,58.39,52909.4,644.3,30.2,24.5,449.66,256.0,,0.3,-102.0,0.6,71.5,146.0,224.0,266.0,,,3.0,0.03,0.42,,,,,,,,,,,,,,7.0,727.0,893.0,0.8,5.0,,557.05,14.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337, Unidad de Monitoreo y Centro de Datos,Septiembre 2011,2011-09-05 15:30:00,-21.2586,-63.5115,Pilcomayo,0.0,0.171,35.0,1465.0,6.01,8.53,888.0,30.0,950.0,23.6,72.08,75.0,388.45,49.98,52.0,6.56,7.18,13.22,13.71,1.0,41.5,5.0,6.0,0.05,1.0,2.0,3.0,0.4,1.0,238.0,847.0,8.0,43.0,0.04,0.073,2.0,2.0,0.05,1.0,0.1,3.0,6.0,22.0,33.33,,33.33,20.0,20300.0,1166.67,0.0,,533.33,14.0,,2.33,-112.0,0.5,73.1,157.18,26.8,308.4,,,,,,,,,,,,1.2,,,,,,,,693.0,845.0,0.8,4.0,,5066.67,106.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338, Unidad de Monitoreo y Centro de Datos,Agosto 2011,2011-08-31 09:15:00,-21.2394,-65.2092,San Juan del Oro,0.0,0.367,8.0,1464.0,5.59,8.35,1216.0,28.0,1245.0,12.9,129.39,127.89,610.6,66.31,66.7,5.3,5.4,94.7,95.9,5.0,5.0,3.0,5.0,0.05,1.0,1.0,3.0,0.4,1.0,351.0,1264.0,44.0,63.0,0.04,0.148,4.0,4.0,0.05,1.0,0.1,4.0,12.0,52.0,71.43,,71.43,21.43,32607.14,678.57,0.0,,1428.57,11.0,,5.36,-98.0,0.5,69.1,160.0,124.0,307.6,,,,,,,7.0,,,,,0.001,,,,,,,,2134.0,2820.0,0.7,7.0,,24500.0,225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339, Unidad de Monitoreo y Centro de Datos,Agosto 2011,2011-08-31 11:10:00,-20.7424,-65.2405,Tumusla,0.0,0.456,5.0,1192.0,5.62,8.36,1024.0,143.0,1168.0,14.4,74.99,74.99,540.5,76.08,76.86,5.4,5.5,67.49,68.05,5.0,2.0,5.0,8.0,0.05,1.0,1.0,3.0,0.3,5.0,212.0,4743.0,36.0,141.0,0.04,0.06,3.0,7.0,0.05,1.0,0.1,3.0,6.0,26.0,20.98,,20.98,32.87,31685.31,734.27,27.97,,139.86,97.0,,0.42,-99.0,0.4,72.3,130.0,94.1,223.0,,,,,,,6.0,,,,,0.001,,,,,,,,945.0,1300.0,0.5,2.0,,2482.52,10.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340, Unidad de Monitoreo y Centro de Datos,Agosto 2011,2011-08-31 18:00:00,-19.4718,-65.7935,Tarapaya,0.0,,,1045.0,4.73,7.45,787.0,289.5,1079.0,15.4,121.88,124.89,352.8,11.29,11.6,10.6,10.7,62.1,63.3,19.0,25.5,17.0,194.0,7.0,30.5,7.0,191.0,0.1,3.5,592.5,25240.5,1.0,1245.0,0.04,0.3655,10.0,17.5,0.05,4.0,0.1,292.5,1271.5,7542.5,611.4,81.17,635.58,11.74,85139.9,4300.52,25.91,973.75,21661.49,167.0,13.82,1.28,-47.0,0.3,70.4,62.5,79.55,195.8,,,,,,,13.0,,,,,0.001,,,,,,,,310.5,353.5,0.6,2.0,,148.53,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341, Unidad de Monitoreo y Centro de Datos,Noviembre 2011,2011-11-16 08:15:00,-19.6021,-65.7346,De la Ribera,4117.0,,,212.0,4.82,6.68,164.0,17.0,184.0,12.0,27.29,27.49,,2.99,3.03,3.1,3.1,10.6,10.6,5.0,2.0,6.0,90.0,0.4,7.0,2.0,50.0,0.1,12.0,174.0,5993.0,42.0,511.0,0.04,2.35,1.0,14.0,0.05,16.0,0.1,174.0,63.0,916.0,4941.18,388.24,2823.53,705.88,342294.12,27588.24,823.53,10052.94,50176.47,13.4,941.18,138.24,1.0,0.0,74.6,60.0,13.0,29.5,0.06,0.06,0.09,0.02,0.04,5.6,2.0,,,0.002,0.001,0.001,0.0,0.0,10.0,,,,11.0,184.0,194.0,1.0,1.0,,588.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342, Unidad de Monitoreo y Centro de Datos,Noviembre 2011,2011-11-10 08:30:00,-20.4887,-65.6158,Tumusla,2470.0,0.583,3.0,745.0,5.37,8.33,584.0,58.0,643.0,19.0,48.06,48.61,,,39.82,4.5,4.7,63.3,66.1,5.0,2.0,3.0,7.0,0.05,1.0,1.0,20.0,0.1,12.0,243.0,3962.0,10.0,199.0,0.04,0.1,2.0,8.0,0.05,1.0,0.2,16.0,5.0,64.0,68.97,,344.83,206.9,64120.69,3258.62,103.45,198.28,1017.24,93.4,,,-99.0,0.1,80.1,120.0,38.1,447.5,0.21,0.21,0.21,0.02,3.86,2.8,2.0,,,0.002,0.001,0.001,0.0,0.0,8.0,,,,17.0,834.0,1087.0,1.0,1.0,0.1,4362.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343, Unidad de Monitoreo y Centro de Datos,Noviembre 2011,2011-11-10 06:25:00,-20.8215,-65.6687,Cotagaita,2584.0,,,1869.0,5.64,8.13,1706.0,41.0,1748.0,14.8,147.81,148.88,,,39.62,6.4,6.5,89.7,90.2,5.0,3.0,2.0,11.0,0.05,1.0,1.0,5.0,0.1,9.0,432.0,2473.0,94.0,367.0,0.04,0.1,7.0,26.0,0.05,1.0,0.1,8.0,10.0,43.0,219.51,,121.95,219.51,49780.49,6658.54,463.41,39.02,804.88,13.8,,,-86.0,0.8,77.4,90.0,86.5,366.5,0.06,0.06,0.21,0.02,16.68,1.4,2.0,,,0.002,0.001,0.001,0.0,0.0,5.0,,,,4.0,1621.0,2350.0,1.0,1.0,0.1,17780.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
