latitud,longitud,id_syscali01,Latitud:,Longitud:,Río:,Altura,Fecha de Muestreo,Hora de Muestreo,Velocidad media,Caudal,Campaña,Responsable,Conductividad específica (T ref. 25°C) (uS/cm),Oxígeno disuelto (mg/l O2),pH (u pH),Sólidos disueltos totales (mg/l),Sólidos suspendidos totales (mg/l),Sólidos totales (mg/l),Temperatura (C),Calcio disuelto (mg/l Ca),Calcio total (mg/l Ca),Dureza total (mg/l CaCO3),Magnesio disuelto (mg/l Mg),Magnesio total (mg/l Mg),Potasio disuelto (mg/l K),Potasio total (mg/l K),Sodio disuelto (mg/l Na),Sodio total (mg/l Na),Demanda bioquímica de oxígeno (mg/l O2),Demanda química de oxígeno (mg/l O2),Arsenico disuelto (ug/l As),Arsenico total (ug/l As),Cadmio disuelto (ug/l Cd),Cadmio total (ug/l Cd),Cobre disuelto (ug/l Cu),Cobre total (ug/l Cu),Cromo disuelto (ug/l Cr),Cromo total (ug/l Cr),Hierro disuelto (ug/l Fe),Hierro total (ug/l Fe),Manganeso disuelto (ug/l Mn),Manganeso total (ug/l Mn),Mercurio disuelto (ug/l Hg),Mercurio total (ug/l Hg),Niquel disuelto (ug/l Ni),Niquel total (ug/l Ni),Plata disuelto (ug/l Ag),Plata total (ug/l Ag),Plomo disuelto (ug/l Pb),Plomo total (ug/l Pb),Zinc disuelto (ug/l Zn),Zinc total (ug/l Zn),Arsenico suspensión (mg/kg As),Cadmio suspensión (mg/kg Cd),Cobre suspensión (mg/kg Cu),Cromo suspensión (mg/kg Cr),Hierro suspensión (mg/kg Fe),Manganeso suspensión (mg/kg Mn),Niquel suspensión (mg/kg Ni),Plomo suspensión (mg/kg Pb),Zinc en suspensión (mg/kg Zn),Turbiedad (UNT),Plata suspensión (mg/kg Ag),Mercurio suspensión (mg/kg Hg),pH (mV) (mV),Salinidad (Sal),Saturación de oxígeno (%),Alcalinidad total (mg/l CaCO3),Cloruros (mg/l Cl -),Sulfatos (mg/l SO4=),Fósforo disuelto (mg/l PO4),Fósforo total (mg/l PO4),Nitrato (mg/l NO3),Nitrito (mg/l NO2),Nitrógeno amoniacal (mg/l NH4),Nitrógeno total Kjeldahl (mg/l N),Carbono organico disuelto (mg/l),Coliformes fecales (en NMP) (NMP/100 ml),Coliformes totales (en NMP) (NMP/100 ml),Cianuros libre (mg/l CN-),Fenoles (mg/l C6H6O),Sulfuros (mg/l S=),Aerobios mesófilos totales (en UFC) (UFC/100 ml),Coliformes fecales (en UFC) (UFC/100 ml),Coliformes totales (en UFC) (UFC/100 ml),Cianuros libre (CN-),Sulfuros (S=),Cianuros (mg/l CN-),Color (u PtCo),Boro disuelto (ug/l B),Boro total (ug/l B),Selenio disuelto (ug/l Se),Selenio total (ug/l Se),Hidrocarburos totales (mg/l),Boro suspensión (mg/kg B),Selenio suspensión (mg/kg Se),Cobre total (Cu),Cromo disuelto (Cr),Cromo total (Cr),Hierro disuelto (Fe),Hierro total (Fe),Manganeso disuelto (Mn),Manganeso total (Mn),Mercurio disuelto (Hg),Mercurio total (Hg),Niquel disuelto (Ni),Niquel total (Ni),Plata disuelto (Ag),Plata total (Ag),Plomo disuelto (Pb),Plomo total (Pb),Selenio disuelto (Se),Selenio total (Se),Zinc disuelto (Zn),Zinc total (Zn),Fenoles (C6H6O),Aerobios mesófilos totales (en UFC) (UFC/ml),Hidrocarburos totales (),Cadmio total (Cd),Cobre disuelto (Cu),Fósforo total (PO4),Arsenico total (As),Boro disuelto (B),Boro total (B),Cadmio disuelto (Cd),Demanda bioquímica de oxígeno (O2),Demanda química de oxígeno (O2),Arsenico disuelto (As),Magnesio total (Mg),Potasio disuelto (K),Sodio disuelto (Na),Sulfatos (SO4=),Nitrato (NO3),Nitrito (NO2),Nitrógeno amoniacal (NH4),Fósforo disuelto (PO4),Alcalinidad Fenolftaleina (mg/l CaCO3),Turbiedad (NTU),Bismuto disuelto (ug/l Bi),Bismuto total (ug/l Bi),Talio disuelto (ug/l Tl),Talio total (ug/l Tl),Bismuto suspensión (mg/kg Bi),Talio en suspensión (mg/kg Tl),Presión Parcial (mm Hg),Resistividad (Ohm.cm),Bismuto total (Bi),Talio disuelto (Tl),Talio total (Tl),Bismuto disuelto (Bi),Aerobios mesófilos totales (en NMP) (NMP/100 ml),Cianuros (CN-),Coliformes totales (en UFC) (),Coliformes totales (en NMP) (),Alcalinidad total (CaCO3),Dureza total (CaCO3),Magnesio disuelto (Mg),Potasio total (K),Sodio total (Na),Nitrógeno total Kjeldahl (N),Aerobios mesófilos totales (en UFC) (),Coliformes fecales (en NMP) (),Coliformes fecales (en UFC) (),pH en laboratorio (u pH),Sólidos sedimentables (ml/l),Calcio disuelto (Ca),Calcio total (Ca),Cloruros (Cl -),Carbono orgánico total (mg/l)
-22.3781,-62.5185,330,"22º 22' 41.3""","62º 31' 6.5"" ",Pilcomayo,0 msnm ,31-05-2011,12:50 Hs,SIN DATOS,SIN DATOS,Mayo 2011, Unidad de Monitoreo y Centro de Datos,866,7.16,8.09,584,1182,1912,22.2,49,,152,7.3,,6.8,,134,,< 2,16,3,75,< 0.05,< 1,0.8,26,< 0.1,2,175,6568,8,139,< 0.04,< 1,4,116,< 0.05,< 1,0.2,3,5,160,60.91,,21.32,1.69,5408.63,110.83,94.75,,131.13,633,,,-72,0.2,84.4,108,106,212,,,3.4,0.03,0.23,,,,,,,,,,,,,,19,829,,0.5,16,,,13.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.2588,-63.5115,331,"21º 15' 31.5""","63º 30' 41.4"" ",Pilcomayo,0 msnm ,30-05-2011,13:40 Hs,0.329 m/s,72 m3/s,Mayo 2011, Unidad de Monitoreo y Centro de Datos,894,6.77,8.35,584,35,681,22.1,41.5,50.7,205,23,38,7.57,7.76,80.07,85.05,< 1,63,3,4,< 0.05,< 1,2,7,< 0.1,26,217,3200,3,57,< 0.04,< 1,2,83,< 0.05,< 1,< 0.1,5,2,31,28.57,,142.86,742.86,85228.57,1542.86,2314.29,,828.57,61,,,-87,0.2,83.5,125.8,15.05,240.75,,,,,,,,,,,,,,,,,,,,528,593,0.6,< 1,,1857.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.2394,-65.2092,332,"21º 14' 22""","65º 12' 33.1"" ",San Juan del Oro,0 msnm ,18-05-2011,13:40 Hs,0.694 m/s,8 m3/s,Mayo 2011, Unidad de Monitoreo y Centro de Datos,1172,6.12,8.48,1144,109,1254,17.2,167.36,168.86,643.7,54.83,58.65,5.5,5.6,110,112.7,< 5,< 2,3,11,< 0.05,6,0.8,10,< 0.1,12,172,6356,8,87,< 0.04,< 1,4,13,< 0.05,2,0.1,13,5,30,73.39,55.05,84.40,110.09,56733.94,724.77,82.57,68.81,229.36,109,18.35,,-93,0.4,84.3,160,98.1,356.2,,,,,,,< 2,,,,,< 0.001,,,,,,,,854,2842,0.4,4,,18238.53,33.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.7424,-65.2405,333,"20º 44' 32.7""","65º 14' 25.8"" ",Tumusla,0 msnm ,18-05-2011,16:00 Hs,0.702 m/s,10 m3/s,Mayo 2011, Unidad de Monitoreo y Centro de Datos,972,6.23,8.41,1000,552,1552,16.5,121.09,143.87,543.9,58.65,60.55,5.7,6.3,79.4,91.1,< 5,< 2,3,13,< 0.05,1,1,23,< 0.1,31,223,34423,7,382,< 0.04,< 1,3,25,< 0.05,< 1,< 0.1,25,5,178,18.12,1.81,39.86,56.16,61956.52,679.35,39.86,34.96,313.41,530,,,-89,0.2,85.2,120,76.8,335.9,,,,,,,< 2,,,,,< 0.001,,,,,,,,938,1187,0.5,< 1,,451.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.4718,-65.7935,334,"19º 28' 18.6""","65º 47' 36.6"" ",Tarapaya,0 msnm ,19-05-2011,08:20 Hs,SIN DATOS,SIN DATOS,Mayo 2011, Unidad de Monitoreo y Centro de Datos,730,6.85,7.38,588,49,638,4,171.13,172.26,508.2,19.65,20.84,6.5,6.6,49.85,51.2,< 5,< 2,3,30,< 0.05,2,2,38,< 0.1,20,159,19327,4,448,< 0.04,< 1,3,46,< 0.05,< 1,0.2,22,5,152,551.02,40.82,734.69,408.16,391183.67,9061.22,877.55,316.33,3000.00,100,,,-28,0.1,79.9,35,51.2,219,,,,,,,< 2,,,,,< 0.001,,,,,,,,487,4550,0.5,3,,82918.37,51.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-22.663,-62.1978,335,22 39 46.9,62 11 52.1 ,La Estrella,0 msnm ,06-09-2011,15:10 Hs,SIN DATOS,SIN DATOS,Septiembre 2011, Unidad de Monitoreo y Centro de Datos,1583,6.17,8.32,992,894,1914,23.9,93,,456,54.1,,9,,131,,3,7,3,17,< 0.05,< 1,3,22,0.6,26,279,35209,12,415,< 0.04,0.125,3,24,< 0.05,< 1,< 0.1,22,4,89,15.66,,21.25,28.41,39071.59,450.78,23.49,14.54,95.08,453,,0.15,-100,0.6,74.9,145,217,270,,,3.1,0.03,0.42,,,,,,,,,,,,,,22,745,896,0.7,4,,168.90,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-22.3783,-62.5186,336,"22º 22' 42.0""","62º 31' 7.1"" ",Pilcomayo,0 msnm ,06-09-2011,10:05 Hs,0.475 m/s,14 m3/s,Septiembre 2011, Unidad de Monitoreo y Centro de Datos,1597,6.42,8.4,1010,298,1460,18.3,95,,451,51.6,,9.7,,136,,2,5,4,12,0.1,< 1,2,15,0.6,18,276,16043,21,213,< 0.04,0.093,3,12,< 0.05,< 1,< 0.1,17,26,160,26.85,,43.62,58.39,52909.40,644.30,30.20,24.50,449.66,256,,0.30,-102,0.6,71.5,146,224,266,,,3,0.03,0.42,,,,,,,,,,,,,,7,727,893,0.8,5,,557.05,14.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.2586,-63.5115,337,"21º 15' 31.1""","63º 30' 41.3"" ",Pilcomayo,0 msnm ,05-09-2011,15:30 Hs,0.171 m/s,35 m3/s,Septiembre 2011, Unidad de Monitoreo y Centro de Datos,1465,6.01,8.53,888,30,950,23.6,72.08,75,388.45,49.98,52,6.56,7.18,13.22,13.71,< 1,41.5,5,6,< 0.05,< 1,2,3,0.4,1,238,847,8,43,< 0.04,0.073,2,2,< 0.05,< 1,< 0.1,3,6,22,33.33,,33.33,20.00,20300.00,1166.67,0.00,,533.33,14,,2.33,-112,0.5,73.1,157.18,26.8,308.4,,,,,,,,,,,,1.2,,,,,,,,693,845,0.8,4,,5066.67,106.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.2394,-65.2092,338,"21º 14' 22""","65º 12' 33.1"" ",San Juan del Oro,0 msnm ,31-08-2011,09:15 Hs,0.367 m/s,8 m3/s,Agosto 2011, Unidad de Monitoreo y Centro de Datos,1464,5.59,8.35,1216,28,1245,12.9,129.39,127.89,610.6,66.31,66.7,5.3,5.4,94.7,95.9,< 5,5,3,5,< 0.05,< 1,1,3,0.4,1,351,1264,44,63,< 0.04,0.148,4,4,< 0.05,< 1,< 0.1,4,12,52,71.43,,71.43,21.43,32607.14,678.57,0.00,,1428.57,11,,5.36,-98,0.5,69.1,160,124,307.6,,,,,,,7,,,,,< 0.001,,,,,,,,2134,2820,0.7,7,,24500.00,225.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.7424,-65.2405,339,"20º 44' 32.7""","65º 14' 25.8"" ",Tumusla,0 msnm ,31-08-2011,11:10 Hs,0.456 m/s,5 m3/s,Agosto 2011, Unidad de Monitoreo y Centro de Datos,1192,5.62,8.36,1024,143,1168,14.4,74.99,74.99,540.5,76.08,76.86,5.4,5.5,67.49,68.05,< 5,2,5,8,< 0.05,< 1,< 1,3,0.3,5,212,4743,36,141,< 0.04,0.06,3,7,< 0.05,< 1,< 0.1,3,6,26,20.98,,20.98,32.87,31685.31,734.27,27.97,,139.86,97,,0.42,-99,0.4,72.3,130,94.1,223,,,,,,,6,,,,,< 0.001,,,,,,,,945,1300,0.5,2,,2482.52,10.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.4718,-65.7935,340,"19º 28' 18.6""","65º 47' 36.6"" ",Tarapaya,0 msnm ,31-08-2011,18:00 Hs,SIN DATOS,SIN DATOS,Agosto 2011, Unidad de Monitoreo y Centro de Datos,1045,4.73,7.45,787,289.5,1079,15.4,121.88,124.89,352.8,11.29,11.6,10.6,10.7,62.1,63.3,19,25.5,17,194,7,30.5,7,191,0.1,3.5,592.5,25240.5,< 1,1245,< 0.04,0.3655,10,17.5,< 0.05,4,< 0.1,292.5,1271.5,7542.5,611.40,81.17,635.58,11.74,85139.90,4300.52,25.91,973.75,21661.49,167,13.82,1.28,-47,0.3,70.4,62.5,79.55,195.8,,,,,,,13,,,,,< 0.001,,,,,,,,310.5,353.5,0.6,2,,148.53,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.6021,-65.7346,341,19 36 7.5,65 44 4.6 ,De la Ribera,4117 msnm ,16-11-2011,08:15 Hs,SIN DATOS,SIN DATOS,Noviembre 2011, Unidad de Monitoreo y Centro de Datos,212,4.82,6.68,164,17,184,12,27.29,27.49,,2.99,3.03,3.1,3.1,10.6,10.6,< 5,< 2,6,90,0.4,7,2,50,< 0.1,12,174,5993,42,511,< 0.04,2.35,< 1,14,< 0.05,16,< 0.1,174,63,916,4941.18,388.24,2823.53,705.88,342294.12,27588.24,823.53,10052.94,50176.47,13.4,941.18,138.24,1,0,74.6,60,13,29.5,0.06,0.06,0.09,< 0.02,0.04,5.6,< 2,,,< 0.002,< 0.001,< 0.001,0,0,10,,,,11,184,194,< 1,< 1,,588.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.4887,-65.6158,342,20 29 19.2,65 36 56.8 ,Tumusla,2470 msnm ,10-11-2011,08:30 Hs,0.583 m/s,3 m3/s,Noviembre 2011, Unidad de Monitoreo y Centro de Datos,745,5.37,8.33,584,58,643,19,48.06,48.61,,,39.82,4.5,4.7,63.3,66.1,< 5,< 2,3,7,< 0.05,< 1,< 1,20,< 0.1,12,243,3962,10,199,< 0.04,< 0.1,2,8,< 0.05,< 1,0.2,16,5,64,68.97,,344.83,206.90,64120.69,3258.62,103.45,198.28,1017.24,93.4,,,-99,0.1,80.1,120,38.1,447.5,0.21,0.21,0.21,< 0.02,3.86,2.8,< 2,,,< 0.002,< 0.001,< 0.001,0,0,8,,,,17,834,1087,< 1,< 1,< 0.1,4362.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.8215,-65.6687,343,20 49 17.3,65 40 7.2 ,Cotagaita,2584 msnm ,10-11-2011,06:25 Hs,SIN DATOS,SIN DATOS,Noviembre 2011, Unidad de Monitoreo y Centro de Datos,1869,5.64,8.13,1706,41,1748,14.8,147.81,148.88,,,39.62,6.4,6.5,89.7,90.2,< 5,3,2,11,< 0.05,< 1,< 1,5,< 0.1,9,432,2473,94,367,< 0.04,< 0.1,7,26,< 0.05,< 1,< 0.1,8,10,43,219.51,,121.95,219.51,49780.49,6658.54,463.41,39.02,804.88,13.8,,,-86,0.8,77.4,90,86.5,366.5,0.06,0.06,0.21,< 0.02,16.68,1.4,< 2,,,< 0.002,< 0.001,< 0.001,0,0,5,,,,4,1621,2350,< 1,< 1,< 0.1,17780.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.7424,-65.2405,344,20 44 32.5,65 14 25.7 ,Tumusla,2329 msnm ,18-11-2011,06:30 Hs,0.522 m/s,3 m3/s,Noviembre 2011, Unidad de Monitoreo y Centro de Datos,1303,5.3,8.42,1020,210,1505,17.4,80,98.4,597.86,90.49,114.92,4.86,4.99,60.73,91.53,< 1,21,5,12,< 0.05,< 1,< 1,17,< 0.1,12,461,8902,28,,,,,,,,,,,,33.33,,80.95,57.14,40195.24,1885.71,71.43,48.29,352.38,386,,,-104,0.4,75,149.14,115.85,372.9,< 0.03,0.03,< 0.04,< 0.03,0.27,0.42,,500000,2200000,,,,,,,,< 1,,4,1148,1492,,,,1638.10,,,,,,,,424,< 0.04,,3,18,< 0.05,< 1,< 0.1,15,< 1,< 1,14,88,< 0.001,41000,< 0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.5784,-65.8032,345,19 34 42.1,65 48 11.6 ,Aljamayu,0 msnm ,16-11-2011,14:10 Hs,0.547 m/s,0 m3/s,Noviembre 2011, Unidad de Monitoreo y Centro de Datos,1449,3.14,7.92,1094,465,1558,20.1,167.95,168.48,,12.37,12.37,28.5,28.5,61.7,61.7,76,83,16,523,16,78,32,627,< 0.1,13,1357,32970,721,1856,< 0.04,0.68,13,36,< 0.05,11,< 0.1,335,1178,19857,1090.32,133.33,1279.57,27.96,67984.95,2440.86,49.46,659.14,40169.89,435,23.66,1.46,-76,0.5,53.6,155,95.2,295.1,0.12,0.12,5.18,< 0.02,44.6,54.6,29,,,< 0.002,< 0.001,< 0.001,0,12,530,,,,54,266,288,< 1,< 1,< 0.1,47.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.4721,-65.7934,346,19 28 19.6,65 47 36.2 ,Tarapaya,0 msnm ,16-11-2011,15:25 Hs,0.347 m/s,1 m3/s,Noviembre 2011, Unidad de Monitoreo y Centro de Datos,1407,4.03,7.56,1204,176,1379,20.3,191.43,191.43,554.9,18.74,18.74,16.8,16.8,70,73.4,21,25,13,237,7,32,5,154,< 0.1,9,1251,21514,879,1811,< 0.04,0.103,12,25,< 0.05,2,< 0.1,137,1854,12450,1272.73,142.05,846.59,51.14,115130.68,5295.45,73.86,682.95,60204.55,180,11.36,0.57,-55,0.5,67.8,100,138.5,412.3,0.03,0.06,2.98,0.1,26.84,7,12,,,< 0.002,< 0.001,< 0.001,0,0,21,,,,9,308,438,< 1,< 1,< 0.1,738.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.3601,-65.1707,347,19 21 36.4,65 10 14.5 ,Pilcomayo,2297 msnm ,15-11-2011,13:45 Hs,0.757 m/s,8 m3/s,Noviembre 2011, Unidad de Monitoreo y Centro de Datos,1043,5,8.29,690,3280,4415,22.8,60.2,67.42,234.7,20.3,24.36,4.59,5.13,131.07,144.51,< 1,350,4,82,< 0.05,6,< 1,135,< 0.1,75,385,102338,14,2411,0.06,0.495,3,106,< 0.05,1,< 0.1,111,4,814,23.78,1.83,41.16,22.87,31083.23,730.79,31.40,32.44,246.95,470,0.30,0.13,-98,0.3,75.3,133.03,172.03,180.7,0.09,0.12,1.11,0.26,0.54,1.12,,11000,90000,,< 0.001,< 1,,,,,,,11,774,1133,< 1,< 1,< 0.1,109.45,,,,,,,,,,,,,,,,,,,,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.5037,-65.7069,348,21 30 13.4,65 42 24.8 ,Tupiza,0 msnm ,09-11-2011,15:15 Hs,0.32 m/s,0 m3/s,Noviembre 2011, Unidad de Monitoreo y Centro de Datos,1708,4.96,8.84,1470,25,1495,27.5,110.74,118.53,761.2,104.53,112.97,7.2,7.4,108.1,109.2,< 5,8,2,5,< 0.05,< 1,< 1,2,0.1,8,840,763,74,110,< 0.04,0.103,6,8,< 0.05,< 1,0.1,5,14,17,120.00,,80.00,316.00,,1440.00,80.00,,120.00,10.9,,4.00,-132,0.7,88.3,150,112.5,453.1,1.53,1.59,2.52,< 0.02,0.97,4.2,8,,,< 0.002,< 0.001,< 0.001,0,0,15,,,,4,1861,2420,1,< 1,< 0.1,22360.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-22.5258,-66.3476,349,22 31 33.0,66 20 51.3 ,Orosmayo,0 msnm ,08-11-2011,13:00 Hs,0.299 m/s,0 m3/s,Noviembre 2011, Unidad de Monitoreo y Centro de Datos,1496,3.95,8.37,946,34,981,25.2,55.52,53.02,208,18.02,18.36,19.7,19.8,214.3,215,< 5,5,14,25,4,5,2,10,< 0.1,10,239,337,4,14,0.183,< 0.1,2,12,< 0.05,< 1,< 0.1,9,38,93,323.53,29.41,235.29,294.12,2882.35,294.12,294.12,,1617.65,1.92,,,-103,0.6,70.4,335,372.1,68,0.21,0.21,< 0.01,< 0.02,0.23,4.2,4,,,< 0.002,0.005,< 0.001,0,0,12,,,,13,1443,15740,3,< 1,< 0.1,420500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.5611,-65.6476,350,21 33 40.1,65 38 51.5 ,San Juan del Oro,3000 msnm ,09-11-2011,12:25 Hs,0.289 m/s,0 m3/s,Noviembre 2011, Unidad de Monitoreo y Centro de Datos,1331,5.35,8.69,1088,71,1159,25.6,90.42,89.79,557.4,79.22,80.91,7.2,7.2,91.3,91.9,< 5,3,2,6,< 0.05,< 1,< 1,4,< 0.1,9,594,2104,8,78,< 0.04,< 0.1,5,11,< 0.05,< 1,< 0.1,6,8,20,56.34,,56.34,126.76,21267.61,985.92,84.51,,169.01,52.7,,,-122,0.5,89.4,340,95.2,665,0.09,0.12,< 0.01,< 0.02,0.01,5.6,5,,,< 0.002,0.004,< 0.001,0,0,8,,,,14,1851,3038,< 1,< 1,< 0.1,16718.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-22.0979,-65.5869,351,22 05 52.4,65 35 12.7 ,La Quiaca,3756 msnm ,08-11-2011,17:15 Hs,0.335 m/s,0 m3/s,Noviembre 2011, Unidad de Monitoreo y Centro de Datos,1201,0.67,8.04,672,62,735,23.9,55.52,53.65,248.5,27.47,27.81,22.6,22.7,112.6,114.9,73,93,6,16,< 1,< 1,4,17,2,11,399,1189,85,137,< 0.04,0.148,< 1,11,< 1,2,2,10,,,161.29,,209.68,145.16,12741.94,838.71,177.42,,1612.90,119,32.26,2.42,-84,0.4,11.9,130,136.7,70.1,16.28,17.42,4.22,< 0.02,55.4,11.2,32,,,,,,0,10,108,< 0.002,< 0.001,,82,790,1276,3,< 1,,7838.71,,,,,,,,,,,,,,,,,,,11,111,0.007,,< 0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.2392,-65.2093,352,21 14 21.1,65 12 33.4 ,San Juan del Oro,2311 msnm ,18-11-2011,08:45 Hs,0.163 m/s,0 m3/s,Noviembre 2011, Unidad de Monitoreo y Centro de Datos,1975,4.94,8.08,1586,30,1692,19.8,175.05,201.3,869.94,101.76,125.16,5.67,6.74,143.36,149.34,< 1,21,4,6,< 0.05,< 1,< 1,11,< 0.1,8,,1088,186,302,< 0.04,< 0.1,6,10,< 0.05,< 1,< 0.1,10,19,48,66.67,,366.67,266.67,,3866.67,133.33,144.33,966.67,4.5,,,-86,0.8,73,214.76,121.12,844.6,< 0.03,< 0.03,0.04,< 0.03,0.18,0.35,,1300,9000,,,,,,,,< 1,,2,2010,3954,< 1,< 1,,64800.00,,,,,1250,,,,,,,,,,,,,,,,< 0.001,800,< 0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.1531,-64.231,353,21 09 11.0,64 13 51.6 ,Pilaya,824 msnm ,21-11-2011,06:40 Hs,0.598 m/s,11 m3/s,Noviembre 2011, Unidad de Monitoreo y Centro de Datos,662,5.96,7.72,560,11800,12767.5,23.9,56.24,68.61,275.66,30.7,38.37,2.16,5.12,30.96,42.15,< 1,930,< 1,76,< 0.05,6,1,296,< 0.1,267,461,296535,2,8231,< 0.04,< 0.1,3,428,< 0.05,< 1,< 0.1,322,7,1040,6.44,0.51,25.00,22.63,25091.02,697.37,36.02,27.11,87.54,> 1100,,,-66,0.1,78,59.65,24.58,228.7,0.03,0.06,1.86,0.16,2.51,4.18,,140000,280000,,< 0.001,< 1,,,,,,,28,275,365,< 1,< 1,< 0.1,7.63,,,,,,,,,,,,,,,,,,,,,,51000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.9138,-64.1105,354,20 54 49.8,64 06 37.9 ,Pilcomayo,1090 msnm ,20-11-2011,17:00 Hs,0.77 m/s,73 m3/s,Noviembre 2011, Unidad de Monitoreo y Centro de Datos,1182,4.9,7.97,765,5095,6000,27.2,32.25,40.18,322.2,55.18,67.87,7.83,8.09,138.3,147.53,< 1,860,4,23,< 0.05,4,< 1,118,< 0.1,83,444,113563,18,4338,< 0.04,0.43,,,,,,,,,3.73,0.79,23.16,16.29,22201.96,847.89,34.94,18.09,163.69,> 1100,,0.08,-81,0.4,66.4,140.19,179.05,234.4,0.06,,0.84,0.3,0.72,1.54,,1100,5000,,,,,,,,< 1,,14,437,534,,,,19.04,,,,,,,,,,,3,181,< 0.05,< 1,< 0.1,100,< 1,< 1,7,841,< 0.001,9000,< 0.1,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.2588,-63.5115,355,21 15 31.5,63 30 41.4 ,Pilcomayo,407 msnm ,20-11-2011,07:00 Hs,0.181 m/s,33 m3/s,Noviembre 2011, Unidad de Monitoreo y Centro de Datos,1090,5.23,8.24,710,910,1940,25.6,31.68,38.02,286.4,51.73,64.14,3.78,4.05,114.69,118.02,< 1,75,3,,,,,,,,,,,,,,,,,,,,,,19.78,2.20,34.07,30.77,33095.60,1086.81,37.36,36.51,165.93,1020,,0.20,-97,0.3,68.4,119.91,168.52,238.8,< 0.03,< 0.03,0.71,0.1,0.36,0.84,,5000,9000,,,,,,,,< 1,,13,,,,,,87.91,,31,< 0.1,28,406,30523,< 1,989,< 0.04,0.18,2,36,< 0.05,< 1,< 0.1,37,< 1,< 1,6,157,< 0.001,600,< 0.1,2,< 1,,21,424,504,< 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
